Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Shivakant Mishra,University of Colorado Boulder,2013,Associate,Distributed & Parallel Computing,Indian Institute of Technology - Bombay,University of Arizona
Sriram Sankaranarayanan,University of Colorado Boulder,2009,Assistant,Computer Education,Indian Institute of Technology - Kharagpur,Stanford University
Tamara Sumner,University of Colorado Boulder,1999,Associate,Algorithms & Theory,University of California - Santa Cruz,University of Colorado Boulder
Timothy Brown,University of Colorado Boulder,2003,Associate,Machine Learning & Pattern Recognition,Pennsylvania State University,California Institute of Technology
Tom Yeh,University of Colorado Boulder,2012,Assistant,Computer Vision,Simon Fraser University,Massachusetts Institute of Technology
Xiao-Chuan Cai,University of Colorado Boulder,1993,Full,Scientific Computing,Peking University - Beijing,New York University
Jordan Boyd-Graber,University of Colorado Boulder,2014,Assistant,Machine Learning & Pattern Recognition,California Institute of Technology,Princeton University
Ahmed Helmy,University of Florida,2006,Associate,Networks & Communications,Cairo University - Cairo,University of Southern California
Alin Dobra,University of Florida,2003,Associate,Databases,Technical University of Cluj-Napoca,Cornell University
Anand Rangarajan,University of Florida,2000,Associate,Machine Learning & Pattern Recognition,Indian Institute of Technology - Madras,University of Southern California
Arunava Banerjee,University of Florida,2003,Associate,Machine Learning & Pattern Recognition,Indian Institute of Technology - Kanpur,Rutgers - State University of New Jersey - New Brunswick
Benjamin C. Lok,University of Florida,2003,Associate,Graphics,University of Tulsa,University of North Carolina - Chapel Hill
Christina M. Gardner-McCune,University of Florida,2014,Associate,Human-Computer Interaction,Syracuse University,Georgia Institute of Technology
Corey Toler-Franklin,University of Florida,2014,Assistant,Graphics,Cornell University,Princeton University
Daisy Zhe Wang,University of Florida,2011,Assistant,Data Mining,University of Toronto,University of California - Berkeley
Damon L. Woodard,University of Florida,2015,Associate,Computer Vision,Tulane University,University of Notre Dame
Douglas D. Dankel II,University of Florida,,Assistant,Artificial Intelligence,North Carolina State University,University of Illinois at Urbana-Champaign
Eakta Jain,University of Florida,2014,Assistant,Graphics,Indian Institute of Technology - Kanpur,Carnegie Mellon University
Jose A.B. Fortes,University of Florida,2001,Full,Distributed & Parallel Computing,Universidade de Angola,University of Southern California
Joseph N. Wilson,University of Florida,2001,Assistant,Security & Privacy,Florida State University,University of Virginia
Juan E. Gilbert,University of Florida,2014,Full,Human-Computer Interaction,Miami University,University of Cincinnati
Kevin R. B. Butler,University of Florida,2014,Associate,Security & Privacy,Queen's University,Pennsylvania State University
Kyla A. McMullen,University of Florida,2014,Assistant,Human-Computer Interaction,University of Maryland - Baltimore,University of Michigan
Lisa Anthony,University of Florida,2013,Assistant,Human-Computer Interaction,Drexel University,Carnegie Mellon University
Manuel E. Bermudez,University of Florida,1985,Associate,Programming Languages,University of Costa Rica,University of California - Santa Cruz
Meera Sitharam,University of Florida,,Associate,Algorithms & Theory,Indian Institute of Technology - Madras,University of Wisconsin - Madison
My T. Thai,University of Florida,2006,Associate,Algorithms & Theory,Iowa State University,University of Minnesota - Twin Cities
Paul D. Gader,University of Florida,2001,Full,Machine Learning & Pattern Recognition,University of Central Florida,University of Florida
Patrick Gerard Traynor,University of Florida,2014,Associate,Security & Privacy,University of Richmond,Pennsylvania State University
Prabhat Mishra,University of Florida,2004,Associate,Real-Time & Embedded Systems,Jadavpur University,University of California - Irvine
Richard Newman,University of Florida,1986,Assistant,Networks & Communications,New College,University of Rochester
Sanjay Ranka,University of Florida,2002,Full,Data Mining,Indian Institute of Technology - Kanpur,University of Minnesota - Twin Cities
Sartaj Sahni,University of Florida,1990,Full,Algorithms & Theory,Indian Institute of Technology - Kanpur,Cornell University
Shaundra Daily,University of Florida,2015,Associate,Human-Computer Interaction,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Shigang Chen,University of Florida,2002,Full,Security & Privacy,University of Science and Technology of China,University of Illinois at Urbana-Champaign
Stephen M. Thebaut,University of Florida,,Assistant,Software Engineering,Duke University,Purdue University
Sumi Helal,University of Florida,2004,Full,Networks & Communications,Alexandria University,Purdue University
Tamer Kahveci,University of Florida,2004,Associate,Bioinformatics & Computational Biology,Bilkent University,University of California - Santa Barbara
Tuba Yavuz-Kahveci,University of Florida,2004,Associate,Bioinformatics & Computational Biology,Bilkent University,University of California - Santa Barbara
Ye Xia,University of Florida,2003,Associate,Networks & Communications,Harvard University,University of California - Berkeley
Aditya G. Parameswaran,University of Illinois at Urbana-Champaign,2014,Assistant,Databases,Indian Institute of Technology - Bombay,Stanford University
Alex Kirlik,University of Illinois at Urbana-Champaign,2010,Full,Human-Computer Interaction,Ohio State University,Ohio State University
Andreas Kloeckner,University of Illinois at Urbana-Champaign,2013,Assistant,Scientific Computing,Karlsruhe Institute of Technology,Brown University
Anil Nirmal Hirani,University of Illinois at Urbana-Champaign,2005,Assistant,Scientific Computing,Birla Institute of Technology and Science - Pilani,California Institute of Technology
Brian P. Bailey,University of Illinois at Urbana-Champaign,2005,Associate,Human-Computer Interaction,Purdue University,University of Minnesota - Twin Cities
Brighten Godfrey,University of Illinois at Urbana-Champaign,2009,Assistant,Networks & Communications,Carnegie Mellon University,University of California - Berkeley
Carl A. Gunter,University of Illinois at Urbana-Champaign,2004,Full,Programming Languages,University of Chicago,University of Wisconsin - Madison
Chandra Sekhar Chekuri,University of Illinois at Urbana-Champaign,2006,Full,Algorithms & Theory,Indian Institute of Technology - Madras,Stanford University
Chengxiang Zhai,University of Illinois at Urbana-Champaign,2002,Full,Information Retrieval,Nanjing University,Carnegie Mellon University
Dan Roth,University of Illinois at Urbana-Champaign,1999,Full,Natural Language & Speech,Technion-Israel Institute of Technology,Harvard University
Darko Marinov,University of Illinois at Urbana-Champaign,2005,Associate,Software Engineering,University of Belgrade,Massachusetts Institute of Technology
David A. Padua,University of Illinois at Urbana-Champaign,1995,Full,Hardware & Architecture,Central University of Venezuela,University of Illinois at Urbana-Champaign
David Alexander Forsyth,University of Illinois at Urbana-Champaign,,Full,Computer Vision,University of the Witwatersrand,University of Oxford
Gerald F. DeJong - II,University of Illinois at Urbana-Champaign,1981,Full,Machine Learning & Pattern Recognition,University of South Dakota,Yale University
Grigore Rosu,University of Illinois at Urbana-Champaign,2002,Associate,Programming Languages,University of Bucharest,University of California - San Diego
Indranil Gupta,University of Illinois at Urbana-Champaign,2003,Associate,Distributed & Parallel Computing,Indian Institute of Technology - Madras,Cornell University
Jeff Erickson,University of Illinois at Urbana-Champaign,1998,Full,Algorithms & Theory,Rice University,University of California - Berkeley
Jiawei Han,University of Illinois at Urbana-Champaign,,Full,Data Mining,University of Science and Technology of China,University of Wisconsin - Madison
John C. Hart,University of Illinois at Urbana-Champaign,,Full,Distributed & Parallel Computing,Aurora University,University of Illinois at Urbana-Champaign
Josep Torrellas,University of Illinois at Urbana-Champaign,1998,Full,Distributed & Parallel Computing,Technical University of Catalonia,Stanford University
Julia Constanze Hockenmaier,University of Illinois at Urbana-Champaign,2007,Assistant,Natural Language & Speech,University of Stuttgart,University of Edinburgh
